id,name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21
62,Har Ki Dun,hill,himalaya,snow peak,nature,trek,adventure,village,glacier,hindu,,,,,,,,,,,,
63,Haridwar,waterbody,hill,sacred,religious,hindu,festival,nature,,,,,,,,,,,,,,
64,Harsil Valley,snow peak,waterbody,hill,himalaya,trek,glacier,adventure,,,,,,,,,,,,,,
65,Himachal Pradesh,snow peak,hill,himalaya,mountain pass,waterbody,nature,vegetation,cloud,activities,amusement,trek,shopping,junction,adventure,waterfalls,,,,,,
66,Hirakud,hindu,waterbody,dam,wildlife,,,,,,,,,,,,,,,,,
67,Howrah,architecture and sculpture,city,shopping,junction,waterbody,art,club and food,activities,,,,,,,,,,,,,
68,Hyderabad,tech city,city,industrial town,nightlife,club and food,shopping,activities,amusement,metropoliton,capital,junction,history,architecture and sculpture,art,museum,malls,hindu,muslim,,,
69,Ichapur,picnic,activities,junction,,,,,,,,,,,,,,,,,,
70,Indian Museum,history,architecture and sculpture,art,picnic,museum,,,,,,,,,,,,,,,,
71,Indore,history,architecture and sculpture,art,activities,city,hindu,wildlife,junction,,,,,,,,,,,,,
72,Jabbalpur,waterfalls,waterbody,architecture and sculpture,art,history,junction,,,,,,,,,,,,,,,
73,Jaipur,desert,history,architecture and sculpture,art,city,capital,activities,amusement,shopping,hill,museum,waterbody,junction,,,,,,,,
74,Jaisalmer,desert,history,architecture and sculpture,art,activities,amusement,hill,waterbody,city,nature,adventure,tribal,,,,,,,,,
75,Jammu And Kashmir,hill,himalaya,snow peak,waterbody,vegetation,nature,cloud,cold desert,mountain pass,trek,activities,adventure,,,,,,,,,
76,Jamnagar,city,waterbody,architecture and sculpture,history,museum,hindu,dam,,,,,,,,,,,,,,
77,Jamshedpur,industrial town,junction,foothill,activities,,,,,,,,,,,,,,,,,
78,Jayanti Hills,hill,foothill,cloud,waterfalls,safari,wildlife,animals,vegetation,waterbody,national park,nature,activities,adventure,,,,,,,,
79,Jim Corbett National Park,safari,national park,wildlife,animals,nature,adventure,hill,waterfalls,waterbody,,,,,,,,,,,,
80,Jodhpur,desert,history,architecture and sculpture,art,activities,amusement,hill,waterbody,city,nature,adventure,,,,,,,,,,
81,Jog Falls,hill,waterbody,waterfalls,cloud,nature,vegetation,dam,national park,,,,,,,,,,,,,
82,Joydev Kenduli,history,architecture and sculpture,art,village,picnic,,,,,,,,,,,,,,,,
83,Kalighat,hindu,sacred,festival,religious,,,,,,,,,,,,,,,,,
84,Kalimpong,hill,cloud,snow peak,nature,vegetation,waterbody,tea garden,,,,,,,,,,,,,,
85,Kamakhya Temple,hindu,sacred,festival,religious,waterbody,hill,,,,,,,,,,,,,,,
86,Kanpur,industrial town,city,activities,architecture and sculpture,art,hindu,waterbody,,,,,,,,,,,,,,
87,Kanyakumari,sea beach,nature,vegetation,activities,amusement,,,,,,,,,,,,,,,,
88,Kasol,hill,snow peak,vegetation,nature,waterbody,cloud,,,,,,,,,,,,,,,
89,Kausani,hill,snow peak,vegetation,nature,cloud,,,,,,,,,,,,,,,,
90,Kaziranga National Park,wildlife,safari,national park,foothill,hill,animals,nature,vegetation,waterfalls,adventure,activities,tea garden,,,,,,,,,
91,Kedarnath,hill,snow peak,himalaya,mountain pass,sacred,religious,hindu,festival,nature,trek,,,,,,,,,,,
92,Kerala,hill,vegetation,nature,waterfalls,tea garden,waterbody,sea beach,cloud,wildlife,island,adventure,activities,,,,,,,,,
93,Kheerganga,waterbody,waterfalls,trek,hill,snow peak,himalaya,adventure,,,,,,,,,,,,,,
94,Kinnaur,himalaya,hill,snow peak,trek,mountain pass,adventure,cave,waterbody,,,,,,,,,,,,,
95,Kochi,sea beach,city,activities,island,vegetation,nature,christian,,,,,,,,,,,,,,
96,Kodaikanal,hill,waterfalls,waterbody,vegetation,nature,cloud,,,,,,,,,,,,,,,
97,Kohima,hill,christian,nature,village,cloud,waterfalls,vegetation,tribal,,,,,,,,,,,,,
98,Kolaghat,industrial town,activities,waterbody,dam,architecture and sculpture,,,,,,,,,,,,,,,,
99,Kolkata,city,tech city,industrial town,club and food,shopping,nightlife,architecture and sculpture,museum,amusement,activities,capital,metropoliton,malls,junction,history,art,,,,,
100,Kota,junction,waterbody,dam,architecture and sculpture,activities,,,,,,,,,,,,,,,,
101,Lahaul And Spiti Valley,himalaya,snow peak,hill,trek,waterbody,cold desert,adventure,village,cloud,mountain pass,national park,buddhist,nature,,,,,,,,
102,Lakshadweep,island,sea beach,activities,adventure,nature,,,,,,,,,,,,,,,,
103,Lava,hill,cloud,snow peak,vegetation,tea garden,waterfalls,national park,nature,adventure,,,,,,,,,,,,
104,Lavasa,hill,waterbody,waterfalls,dam,vegetation,cloud,history,architecture and sculpture,,nature,,,,,,,,,,,
105,Leh Ladakh,cold desert,hill,himalaya,waterbody,snow peak,trek,adventure,nature,buddhist,mountain pass,,,,,,,,,,,
106,Lolegaon,hill,cloud,snow peak,vegetation,tea garden,waterfalls,national park,nature,adventure,,,,,,,,,,,,
107,Lucknow,capital,history,architecture and sculpture,art,hindu,city,amusement,junction,activities,muslim,shopping,,,,,,,,,,
108,Madhya Pradesh,national park,wildlife,waterfalls,animals,hill,architecture and sculpture,art,cave,waterbody,city,junction,industrial town,,,,,,,,,
109,Madurai,hindu,architecture and sculpture,art,religious,junction,industrial town,dam,activities,,,,,,,,,,,,,
110,Mahabaleshwar,hill,vegetation,cloud,waterbody,waterfalls,nature,,,,,,,,,,,,,,,
111,Maharashtra,sea beach,hill,cloud,city,metropoliton,activities,industrial town,amusement,architecture and sculpture,art,nightlife,club and food,shopping,malls,nature,junction,waterbody,waterfalls,,,
112,Malda,junction,architecture and sculpture,art,village,vegetation,,,,,,,,,,,,,,,,
113,Manali,hill,himalaya,snow peak,mountain pass,trek,nature,waterbody,adventure,city,waterfalls,activities,junction,shopping,cloud,vegetation,,,,,,
114,Mandarmani,sea beach,club and food,nature,activities,amusement,picnic,,,,,,,,,,,,,,,
115,Manipur,hill,architecture and sculpture,nature,waterbody,cloud,waterfalls,vegetation,tribal,,,,,,,,,,,,,
116,Mathura,religious,sacred,festival,hindu,buddhist,activities,junction,history,architecture and sculpture,art,waterbody,,,,,,,,,,
117,Mayapur,religious,sacred,architecture and sculpture,art,hindu,,,,,,,,,,,,,,,,
118,Mecheda,junction,activities,village,,,,,,,,,,,,,,,,,,
119,Medinipur,junction,activities,village,,,,,,,,,,,,,,,,,,
120,Meghalaya,hill,cloud,vegetation,waterbody,waterfalls,nature,national park,trek,tribal,adventure,shopping,amusement,club and food,,,,,,,,
121,Mizoram,hill,wildlife,nature,village,cloud,waterfalls,vegetation,tribal,,,,,,,,,,,,,
122,Mukutmanipur,waterbody,dam,village,picnic,nature,,,,,,,,,,,,,,,,
123,Mumbai,sea beach,metropoliton,city,capital,industrial town,tech city,nightlife,amusement,activities,malls,shopping,club and food,junction,art,architecture and sculpture,,,,,,
124,Munnar,hill,cloud,tea garden,vegetation,nature,waterfalls,waterbody,dam,national park,,,,,,,,,,,,
125,Murshidabad,history,art,architecture and sculpture,junction,activities,village,waterbody,club and food,dam,picnic,,,,,,,,,,,
126,Mussoorie,waterfalls,waterbody,hill,cloud,vegetation,nature,activities,,,,,,,,,,,,,,
127,Mysore,city,tech city,junction,activities,history,architecture and sculpture,art,club and food,shopping,malls,industrial town,,,,,,,,,,
128,Nagaland,hill,waterbody,nature,village,cloud,waterfalls,vegetation,tribal,national park,city,,,,,,,,,,,
129,Nagpur,waterbody,city,activities,hindu,junction,amusement,club and food,foothill,architecture and sculpture,history,,,,,,,,,,,
130,Nainital,city,waterbody,hill,snow peak,activities,cloud,vegetation,nature,,,,,,,,,,,,,
131,Netarhat,hill,vegetation,waterfalls,nature,,,,,,,,,,,,,,,,,
132,Nicco Park,amusement,activities,club and food,picnic,,,,,,,,,,,,,,,,,
133,North East,hill,national park,tea garden,waterbody,tribal,nature,wildlife,amusement,waterfalls,industrial town,tribal,junction,city,snow peak,trek,himalaya,mountain pass,safari,activities,adventure,cloud
134,Numpith,religious,hindu,waterbody,festival,sacred,,,,,,,,,,,,,,,,
135,Odisha,hill,waterfalls,safari,national park,wildlife,sea beach,hindu,religious,festival,sacred,club and food,activities,amusement,waterbody,nature,junction,,,,,
136,Ooty,cloud,hill,tea garden,vegetation,waterbody,nature,waterfalls,activities,city,,,,,,,,,,,,
137,Pahalgam,himalaya,hill,snow peak,cloud,vegetation,waterbody,nature,,,,,,,,,,,,,,
