tag_id,place_id
1,23
1,5
1,11
1,6
2,20
2,51
2,33
2,48
2,12
2,50
2,47
2,46
3,23
3,5
3,37
3,9
3,6
4,39
4,49
4,33
4,25
4,47
4,1
5,3
5,35
5,4
6,23
6,49
6,5
6,37
6,22
6,26
6,11
7,37
7,5
7,41
7,23
7,11
7,8
7,26
8,25
8,39
8,1
8,33
8,9
8,2
8,32
8,46
9,20
9,33
9,50
9,51
10,21
10,42
10,20
10,33
10,32
10,29
10,49
10,1
10,45
10,50
10,47
10,2
10,12
10,51
10,46
11,24
11,18
11,1
11,26
12,20
12,32
12,43
12,49
12,22
12,33
12,51
12,3
12,50
12,24
12,46
12,26
12,11
12,12
12,38
13,49
13,1
13,35
14,21
14,19
14,45
14,42
14,29
14,2
15,39
15,25
16,37
16,10
16,35
16,5
16,23
16,49
16,22
16,31
17,51
17,32
17,38
17,50
17,4
18,11
18,44
18,24
18,13
18,40
18,34
18,5
18,30
18,3
18,1
18,8
18,28
18,27
18,26
19,49
19,20
19,15
19,23
19,5
19,48
19,22
19,6
20,37
20,22
20,36
20,49
20,17
21,49
21,32
21,51
21,33
21,47
21,4
22,37
22,22
22,5
22,32
22,51
22,17
22,15
22,49
22,11
22,36
22,8
23,37
23,22
23,5
23,36
24,49
24,23
24,35
24,22
24,5
24,6
25,35
25,23
25,30
26,11
26,3
26,27
26,13
26,1
26,18
26,26
26,40
26,8
27,39
27,51
27,50
27,20
28,11
28,44
28,39
28,24
28,3
28,27
28,13
28,1
28,10
28,22
28,28
28,8
28,40
28,26
29,20
29,50
29,33
29,47
29,12
29,46
29,9
29,49
30,47
30,22
30,5
31,33
31,20
31,50
31,51
31,47
31,22
32,49
32,25
32,39
32,22
33,13
33,35
33,3
34,11
34,26
35,20
35,21
35,42
35,49
35,22
35,33
35,45
35,2
35,48
36,50
36,20
36,47
36,33
36,15
37,30
37,49
38,22
38,36
38,37
38,17
38,49
39,39
39,9
39,33
39,5
40,20
40,12
40,42
40,33
40,1
40,3
40,47
40,43
40,26
40,40
40,13
41,20
41,11
41,26
41,8
41,33
41,1
41,3
41,47
41,50
41,9
42,8
42,23
42,5
42,6
42,28
42,11
42,3
42,26
42,1
42,24
42,13
42,40
42,27
42,30
42,22
42,31
42,26
43,20
43,50
43,5
43,22
43,6
43,36
44,20
44,21
44,42
44,47
44,33
44,12
44,49
44,36
44,7
44,45
44,2
45,40
45,1
45,3
45,27
45,26
45,13
46,49
46,26
46,18
46,48
47,49
47,35
47,33
48,39
48,13
48,33
48,1
48,3
48,35
49,20
49,21
49,42
49,29
49,45
49,48
49,14
49,2
49,33
50,20
50,18
50,12
50,50
50,38
50,51
50,4
50,47
50,49
50,32
50,33
50,1
50,2
51,26
51,11
52,24
52,26
52,1
53,49
53,35
53,13
53,3
53,1
54,20
54,21
54,42
54,29
54,45
54,33
54,49
54,2
54,11
54,8
54,3
54,13
54,50
54,1
54,26
54,7
54,40
54,12
54,47
55,40
55,1
55,3
55,27
55,26
55,13
56,20
56,37
56,36
56,22
56,7
56,17
56,49
57,39
57,2
57,3
57,1
57,34
57,49
57,50
57,20
57,33
57,47
57,12
57,40
57,27
57,13
57,10
57,5
58,5
58,6
58,32
58,23
58,39
58,20
58,15
58,49
58,24
59,24
59,44
59,11
59,34
59,13
59,1
59,26
60,11
60,26
60,18
60,49
60,34
60,13
60,1
60,8
61,23
61,5
61,37
61,9
61,6
62,20
62,21
62,42
62,33
62,45
62,2
62,48
62,19
62,22
63,49
63,20
63,37
63,36
63,22
63,17
63,33
64,42
64,49
64,20
64,21
64,45
64,19
64,2
65,42
65,20
65,21
65,29
65,49
65,33
65,47
65,12
65,1
65,3
65,45
65,40
65,26
65,2
65,50
66,22
66,49
66,15
66,51
67,5
67,11
67,40
67,26
67,49
67,6
67,13
67,1
68,44
68,11
68,24
68,34
68,13
68,40
68,1
68,3
68,28
68,8
68,26
68,23
68,5
68,6
68,30
68,27
68,22
68,31
69,35
69,1
69,26
70,23
70,5
70,6
70,35
70,30
71,23
71,5
71,6
71,1
71,11
71,22
71,51
71,26
72,50
72,49
72,5
72,6
72,23
72,26
73,16
73,23
73,5
73,6
73,11
73,8
73,1
73,3
73,40
73,20
73,30
73,49
73,26
74,16
74,23
74,5
74,6
74,1
74,3
74,20
74,49
74,11
74,33
74,2
74,46
75,20
75,21
75,42
75,49
75,47
75,33
75,12
75,14
75,29
75,45
75,1
75,2
76,11
76,49
76,5
76,23
76,30
76,22
76,15
77,24
77,26
77,18
77,1
78,20
78,18
78,12
78,50
78,38
78,51
78,4
78,47
78,49
78,32
78,33
78,1
78,2
79,38
79,32
79,51
79,4
79,33
79,2
79,20
79,50
79,49
80,16
80,23
80,5
80,6
80,1
80,3
80,20
80,49
80,11
80,33
80,2
81,20
81,49
81,50
81,12
81,33
81,47
81,15
81,32
82,23
82,5
82,6
82,48
82,35
83,22
83,37
83,17
83,36
84,20
84,12
84,42
84,33
84,47
84,49
84,43
85,22
85,37
85,17
85,36
85,49
85,20
86,24
86,11
86,1
86,5
86,6
86,22
86,49
87,39
87,33
87,47
87,1
87,3
88,20
88,42
88,47
88,33
88,49
88,12
89,20
89,42
89,47
89,33
89,12
90,51
90,38
90,32
90,18
90,20
90,4
90,33
90,47
90,50
90,2
90,1
90,43
91,20
